timestamp,event_id,time_since_start_s,expected_label,detected_label,confidence,detection_correct,expected_action,actual_action,action_match,distance_cm,capture_time_ms,inference_time_ms,total_perception_time_ms,note
2026-06-19T03:18:31.686783,1,7.98,stop,stop,0.984,1,stop_3_sec,stop_3_sec,1,81.82,665.3,301.0,966.3,one_take_course_event
2026-06-19T03:18:36.822453,2,13.12,speed_30,speed_30,0.613,1,speed_30_low_speed,speed_30_low_speed,1,121.01,661.6,304.0,965.5,one_take_course_event
2026-06-19T03:18:45.838007,3,22.13,speed_50,speed_50,0.881,1,speed_50_fast_speed,speed_50_fast_speed,1,22.95,652.8,301.7,954.5,one_take_course_event
2026-06-19T03:18:48.726483,4,25.02,crosswalk,speed_50,0.895,0,crosswalk_slow_then_stop,speed_50_fast_speed,0,79.29,657.7,322.4,980.1,one_take_course_event
2026-06-19T03:18:56.072801,5,32.37,left_turn,crosswalk,0.972,0,left_turn,crosswalk_slow_then_stop,0,92.18,672.9,299.8,972.7,one_take_course_event
2026-06-19T03:20:23.298480,1,9.96,stop,stop,0.972,1,stop_3_sec,stop_3_sec,1,70.77,662.4,318.7,981.1,one_take_course_event
2026-06-19T03:20:29.425949,2,16.09,speed_30,speed_30,0.953,1,speed_30_low_speed,speed_30_low_speed,1,70.68,652.4,299.7,952.2,one_take_course_event
2026-06-19T03:20:34.375323,3,21.04,speed_50,speed_50,0.962,1,speed_50_fast_speed,speed_50_fast_speed,1,93.34,663.2,298.8,962.0,one_take_course_event
2026-06-19T03:20:43.842354,4,30.50,crosswalk,crosswalk,0.412,1,crosswalk_slow_then_stop,crosswalk_slow_then_stop,1,66.00,670.6,304.0,974.6,one_take_course_event
2026-06-19T03:20:45.984530,5,32.64,left_turn,left_turn,0.681,1,left_turn,left_turn,1,60.25,747.9,313.7,1061.6,one_take_course_event
